Battery ID,Battery Formula,Working Ion,Formula Charge,Formula Discharge,Max Delta Volume,Average Voltage,Gravimetric Capacity,Volumetric Capacity,Gravimetric Energy,Volumetric Energy,Atomic Fraction Charge,Atomic Fraction Discharge,Stability Charge,Stability Discharge,Steps,Max Voltage Step
mp-30_Al,Al0-2Cu,Al,Cu,Al2Cu,3.043399166099431,0.08903311500000004,1368.4805523447967,5562.790129820172,121.84008639217785,495.27253334914457,0.0,0.6666666666666666,0.0,0.0,1,0.0
mp-1022721_Al,Al1-3Cu,Al,AlCu,Al3Cu,1.2436527620376623,-0.021586344999999934,1112.936545960678,4418.979753458019,-24.024232244215476,-95.38962150615946,0.5,0.75,0.07406123800000142,0.09624583499999995,1,0.0
mp-8637_Al,Al0-5Mo,Al,Mo,Al5Mo,4.7625742926678125,0.1227568450000002,1741.504157810485,7175.701747409025,213.7815559671976,880.8665071729203,0.0,0.8333333333333334,0.41146009999999933,0.0452119541666649,1,0.0
mp-129_Al,Al0-12Mo,Al,Mo,Al12Mo,12.723893064606141,0.04312143250000015,2298.8107644274346,7346.232301868708,99.12801320853136,316.7800603343522,0.0,0.9230769230769231,0.0,0.011445594615390853,1,0.0
mp-91_Al,Al0-12W,Al,W,Al12W,12.494597710468973,0.029234205833333252,1900.7451288330128,7332.71861237705,55.566774333009825,214.36620523214447,0.0,0.9230769230769231,0.0,0.0,1,0.0
mp-1055908_Al,Al0-12Mn,Al,Mn,MnAl12,18.236156337761482,0.03973135916666667,2547.6928001341876,7592.91608289565,101.22329768846213,301.67687601188686,0.0,0.9230769230769231,0.14546432206896398,0.0,1,0.0
mp-2658_Al,Al0-1Fe,Al,Fe,AlFe,0.7711538538175469,0.47172873000000004,970.7570157482313,5622.356217978021,457.9339741775032,2652.226958314375,0.0,0.5,0.7613994000000002,0.0,1,0.0
mp-16722_Al,Al1-10.25V,Al,Al10V,Al41V4,0.0027108033523548514,-0.01558272333334069,61.37701219331353,176.41513079509815,-0.9564210000354828,-2.7490281749951255,0.9090909090909091,0.9111111111111111,0.01180966318181742,0.01258607444444415,1,0.0
mp-998981_Al,Al1-3Ti,Al,TiAl,TiAl3,0.9562924420330603,0.16024498499999998,1248.4036154151197,4248.421059693514,200.0504186261416,680.7881689842711,0.5,0.75,0.14159115499999952,0.0244962150000001,1,0.0
mp-8633_K,K0-3Cr,K,Cr,K3Cr,15.802936257951561,-0.7487069369999995,474.9481274024708,667.5592873001001,-355.59695770138944,-499.8062692603606,0.0,0.75,0.4025263400000014,0.6621617877500001,1,0.0
mp-8640_K,K0-3Hf,K,Hf,K3Hf,7.60976546199012,-1.4790313403333337,271.83417218421795,689.1858267056223,-402.0512600340261,-1019.3274370111532,0.0,0.75,0.07240820999999897,1.1273755577499998,1,0.0
mp-8634_K,K0-3Mn,K,Mn,K3Mn,16.923236288487622,-0.8393424003333335,466.83544449693795,689.3384662767281,-391.8347825447386,-578.5910029268076,0.0,0.75,0.08309805206896392,0.6502813132672411,1,0.0
mp-8637_K,K0-3Mo,K,Mo,K3Mo,11.246857421305421,-1.4178584636666671,377.0698109741495,675.2836748068077,-534.6316228828882,-957.4566737007616,0.0,0.75,0.41146009999999933,1.1662588727499998,1,0.0
mp-8642_K,K0-3Re,K,Re,K3Re,10.398721857513008,-1.9828194836666668,264.922372598299,774.8719371853375,-525.2932420471075,-1536.431174397621,0.0,0.75,0.06275675500000055,1.5028038014999998,1,0.0
mp-8632_K,K0-3V,K,V,K3V,13.060539929033474,-1.0947807736666666,477.92536832749437,681.8803011218229,-523.2235044925009,-746.5094436102088,0.0,0.75,0.24714039999999926,0.8828706802499995,1,0.0
mp-8641_K,K0-3W,K,W,K3W,10.11218492085829,-1.8449306236666665,267.0047325504008,727.0998022341355,-492.60520774616236,-1341.4486916037336,0.0,0.75,0.47142408000000025,1.50155398775,1,0.0
mp-8634_Ca,Ca0-3Mn,Ca,Mn,Ca3Mn,10.828667969363348,-0.2316550616666669,918.0054207404118,2089.022406550219,-212.6606023519546,-483.9326144124399,0.0,0.75,0.08309805206896392,0.36825710551724145,1,0.0
mp-8633_Li,Li0-3Cr,Li,Cr,Li3Cr,5.158052135445044,-0.40769417333333274,1104.1669484529702,1821.5104234573848,-450.16243127152234,-742.6191863095074,0.0,0.75,0.4025263400000014,0.40640221499999996,1,0.0
mp-8636_Li,Li0-3Nb,Li,Nb,Li3Nb,2.381495673405851,-0.8254059633333337,706.9804076667937,2085.178414829654,-583.5458444480029,-1721.118698214344,0.0,0.75,0.32016415999999914,0.6990955125,1,0.0
mp-102_Rb,Rb0-3Co,Rb,Co,Rb3Co,17.420444810766575,-1.1292822591666667,254.9797413652281,664.1584600898982,-287.9440983706572,-750.0223662549747,0.0,0.75,0.016113994999999548,0.8509901931249999,1,0.0
mp-8634_Rb,Rb0-3Mn,Rb,Mn,Rb3Mn,20.696536150461615,-0.8831153025000005,258.25165498313817,569.4538578942053,-228.06598841155983,-502.89341597403336,0.0,0.75,0.08309805206896392,0.6831109898922412,1,0.0
mp-8637_Rb,Rb0-3Mo,Rb,Mo,Rb3Mo,13.477522794917796,-1.4691340858333333,228.19909053523264,571.2374279387973,-335.25506226147706,-839.2243764886496,0.0,0.75,0.41146009999999933,1.2047155893749997,1,0.0
